"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","% Rostered","+/-","MIN","FG-","3PTM","FT-","PTS","OREB","DREB","AST","ST","BLK","TO","PF","TF","EJ","2DO","3D","+-"
"*031m2*","Giannis Antetokounmpo","MIL","SF,PF,F,Flx","1","HOU","27","@BOS<br/>Mon 7:30PM","27.50","3rd","15157","606.28","100%","-0.1%","32.1","8.5","1.1","3.3","27.3","2.1","9.6","5.9","1.1","1.6","3.3","3.1","0.00","0.00","0.6","0.0","8.7"
"*01eo6*","James Harden","BKN","SG,G,Flx","2","BKL","32","","26.00","4th","14479","556.88","100%","-0.4%","35.7","8.7","2.5","0.8","20.8","0.9","7.0","9.6","1.4","0.7","5.0","2.4","0.00","0.00","0.5","0.2","2.7"
"*001aw*","Kevin Durant","BKN","SF,F,Flx","5","OKC","33","","26.00","4th","14156","566.24","100%","-0.4%","36.1","9.5","1.8","0.9","29.4","0.5","7.1","5.6","0.7","0.8","3.2","1.8","0.12","0.04","0.3","0.0","5.0"
"*042n7*","Domantas Sabonis","IND","PF,F,Flx","3","MEM","25","GS<br/>Mon 7:00PM","13.50","1st","13976","499.14","100%","-0.3%","33.6","4.9","0.8","1.1","18.2","3.2","8.7","4.2","1.1","0.4","3.0","3.3","0.04","0.00","0.7","0.0","4.1"
"*03e75*","Nikola Jokic","DEN","C,Flx","4","NYK","26","WAS<br/>Mon 9:00PM","35.00","4th","13972","665.33","100%","-0.1%","32.4","7.5","1.7","1.3","26.5","2.4","11.1","7.2","1.2","0.8","3.4","2.6","0.19","0.05","0.6","0.2","9.0"
"*01enh*","Stephen Curry","GS","PG,G,Flx","6","HOU","33","@IND<br/>Mon 7:00PM","25.90","3rd","13523","540.92","100%","-0.3%","33.8","11.5","5.4","0.3","27.1","0.7","4.9","6.3","1.7","0.4","3.1","1.8","0.04","0.00","0.2","0.0","11.8"
"*042nq*","Dejounte Murray","SA","PG,SG,G,Flx","10","WAS","25","","4.90","1st","13412","515.85","100%","-0.3%","33.6","9.5","1.3","0.7","18.0","1.0","7.3","8.3","2.0","0.4","2.5","2.1","0.04","0.00","0.4","0.1","0.5"
"*02nf1*","Anthony Davis","LAL","PF,F,C,Flx","7","ORL","28","","26.90","2nd","13160","526.4","100%","-0.3%","35.3","8.7","0.4","1.7","24.0","3.0","7.2","3.0","1.3","2.2","2.0","2.3","0.12","0.04","0.5","0.0","-2.4"
"*04qrk*","Trae Young","ATL","PG,G,Flx","8","LAL","23","HOU<br/>Mon 7:30PM","27.50","3rd","13154","505.92","100%","-0.2%","33.8","11.1","2.7","0.7","26.5","0.9","3.2","9.5","1.0","0.1","4.1","1.7","0.23","0.00","0.5","0.0","2.6"
"*03xmv*","Jayson Tatum","BOS","SF,PF,F,Flx","9","DET","23","MIL<br/>Mon 7:30PM","20.60","2nd","13097","485.07","100%","-0.1%","35.7","12.7","2.7","1.1","25.6","1.1","7.6","3.6","0.9","0.8","2.8","2.5","0.15","0.00","0.4","0.0","2.4"
"*027oo*","Jonas Valanciunas","NO","C,Flx","11","PHI","29","","14.30","3rd","12770","440.34","100%","-0.3%","30.6","6.7","1.1","0.7","18.7","3.4","8.4","2.5","0.6","0.9","2.1","3.2","0.10","0.00","0.7","0.0","-3.4"
"*005kc*","Russell Westbrook","LAL","PG,G,Flx","12","CHA","33","","16.50","4th","12472","461.93","98%","-1.7%","35.5","9.0","1.3","1.7","19.5","1.3","6.4","8.6","1.2","0.2","4.6","3.1","0.19","0.04","0.3","0.2","-1.4"
"*02xg9*","Rudy Gobert","UTA","C,Flx","13","DEN","29","","18.10","2nd","12394","476.69","99%","-0.6%","31.1","2.0","0.0","2.0","15.1","3.1","11.5","0.9","0.8","2.2","1.8","2.7","0.23","0.04","0.8","0.0","8.6"
"*05qto*","LaMelo Ball","CHA","PG,G,Flx","14","ORL","20","@DAL<br/>Mon 8:30PM","8.60","2nd","12390","516.25","100%","-0.3%","32.8","10.1","2.9","0.3","20.0","1.5","6.2","8.3","1.9","0.4","3.3","3.1","0.08","0.00","0.3","0.1","2.0"
"*04qrp*","Miles Bridges","CHA","SF,F,Flx","15","PHI","23","@DAL<br/>Mon 8:30PM","8.20","3rd","12221","436.46","100%","-0.4%","36.5","8.4","2.1","0.9","20.3","1.2","6.0","3.5","1.2","0.9","2.0","2.8","0.07","0.00","0.1","0.0","2.2"
"*03ajv*","Julius Randle","NY","PF,F,Flx","16","CHA","27","","24.20","3rd","12032","445.63","100%","0%","34.8","9.3","1.7","1.1","19.1","1.9","8.1","5.3","0.7","0.7","3.4","2.7","0.19","0.00","0.5","0.0","-4.4"
"*03ams*","Zach LaVine","CHI","PG,SG,G,Flx","17","MEM","26","","16.60","1st","11989","444.04","100%","-0.2%","34.6","9.9","2.9","0.7","26.0","0.3","5.0","4.2","0.5","0.3","2.7","1.6","0.07","0.00","0.0","0.0","1.0"
"*03ad3*","Karl-Anthony Towns","MIN","C,Flx","18","OKC","26","","24.00","4th","11689","449.58","100%","-0.1%","32.6","8.1","2.4","1.0","23.1","2.8","6.0","3.2","1.0","1.1","3.3","3.5","0.19","0.00","0.5","0.0","0.7"
"*04ewm*","Jarrett Allen","CLE","C,Flx","19","SAS","23","MIA<br/>Mon 7:00PM","4.80","2nd","11509","460.36","100%","-0.2%","32.8","2.9","0.0","1.3","17.3","3.2","8.0","1.8","1.0","1.4","2.0","1.8","0.00","0.00","0.7","0.0","4.6"
"*01uyj*","Paul George","LAC","SF,PF,F,Flx","20","WAS","31","PHO<br/>Mon 10:30PM","14.50","2nd","11406","475.25","99%","-0.9%","35.3","12.5","2.7","0.5","25.0","0.4","6.9","5.4","1.9","0.4","4.3","2.6","0.13","0.00","0.3","0.0","1.2"
"*0017e*","Chris Paul","PHO","PG,G,Flx","21","PHI","36","@LAC<br/>Mon 10:30PM","10.50","4th","11329","453.16","99%","-0.7%","31.8","5.6","1.0","0.6","14.4","0.3","3.6","10.2","2.0","0.4","2.4","2.1","0.16","0.00","0.5","0.0","5.0"
"*04kj6*","Luka Doncic","DAL","SG,G,Flx","22","MIL","22","CHA<br/>Mon 8:30PM","27.50","3rd","11315","538.81","100%","-0.1%","34.5","11.8","2.7","1.7","25.6","0.8","7.2","8.5","1.0","0.5","4.6","2.5","0.29","0.00","0.5","0.1","-4.0"
"*01eon*","DeMar DeRozan","CHI","SG,G,SF,F,Flx","23","DEN","32","","14.50","2nd","11009","458.71","99%","-0.6%","34.8","9.5","0.8","0.8","26.4","0.6","4.7","4.1","0.9","0.4","2.0","2.3","0.04","0.00","0.0","0.0","6.1"
"*04848*","Fred VanVleet","TOR","PG,SG,G,Flx","24","OKC","27","SAC<br/>Mon 7:00PM","19.00","1st","10930","437.2","100%","-0.2%","37.6","9.2","3.2","0.4","19.7","0.8","4.4","6.4","1.5","0.6","3.2","2.7","0.04","0.00","0.1","0.0","2.8"
"*03nwq*","Christian Wood","HOU","PF,F,C,Flx","25","PHI","26","@ATL<br/>Mon 7:30PM","3.40","1st","10839","416.88","100%","-0.3%","31.5","7.3","1.7","1.8","16.7","1.9","9.4","2.3","0.6","1.1","1.9","2.5","0.08","0.00","0.6","0.0","-5.8"
"*04ewe*","Donovan Mitchell","UTA","SG,G,Flx","26","ORL","25","","24.00","2nd","10724","428.96","100%","-0.3%","31.9","11.0","3.3","0.4","24.8","0.9","3.0","5.0","1.7","0.2","3.0","2.4","0.12","0.04","0.0","0.0","8.5"
"*04ewk*","John Collins","ATL","PF,F,Flx","27","UTA","24","HOU<br/>Mon 7:30PM","19.30","2nd","10703","411.65","100%","-0.3%","32.1","5.2","1.2","0.8","17.1","1.7","6.1","2.2","0.8","1.3","1.0","2.9","0.08","0.00","0.2","0.0","4.3"
"*05qug*","Anthony Edwards","MIN","SG,G,SF,F,Flx","28","DET","20","","10.70","2nd","10632","393.78","100%","-0.1%","34.6","10.5","2.8","0.7","20.6","1.2","4.4","3.6","1.6","0.7","3.2","2.1","0.11","0.00","0.1","0.0","0.1"
"*03e6s*","Clint Capela","ATL","C,Flx","29","LAC","27","HOU<br/>Mon 7:30PM","16.00","4th","10561","406.19","100%","-0.5%","29.6","3.8","0.0","1.2","11.5","4.1","8.7","1.3","0.9","1.5","0.7","2.4","0.00","0.00","0.6","0.0","1.9"
"*051ol*","Darius Garland","CLE","PG,SG,G,Flx","30","LAL","21","MIA<br/>Mon 7:00PM","10.00","4th","10394","399.77","99%","-0.7%","34.1","8.1","2.6","0.3","19.0","0.4","2.6","7.6","1.3","0.1","4.0","1.9","0.04","0.00","0.3","0.0","6.9"
"*049ka*","Lonzo Ball","CHI","PG,G,Flx","31","NYK","24","","8.40","2nd","10286","380.96","100%","-0.2%","35.0","6.6","3.1","0.2","12.8","1.0","4.5","4.9","1.7","1.0","2.5","2.3","0.00","0.00","0.1","0.0","2.6"
"*01uz7*","Gordon Hayward","CHA","SG,G,SF,F,Flx","32","BKL","31","@DAL<br/>Mon 8:30PM","16.00","4th","10225","365.18","97%","-2.6%","34.1","7.5","1.7","0.6","17.6","0.9","4.0","3.9","0.9","0.6","2.0","1.9","0.04","0.00","0.0","0.0","-0.4"
"*042nw*","Malcolm Brogdon","IND","PG,SG,G,Flx","33","MIN","29","GS<br/>Mon 7:00PM","17.60","3rd","10030","436.09","100%","-0.3%","35.0","8.7","1.8","0.6","19.9","0.9","4.6","6.2","0.9","0.5","2.3","2.2","0.00","0.00","0.1","0.0","3.3"
"*04qrl*","Wendell Carter","ORL","C,Flx","34","MIA","22","","8.80","3rd","9809","363.3","99%","-1.3%","28.8","4.9","1.3","0.7","13.0","2.1","7.9","2.5","0.7","0.6","1.5","2.6","0.07","0.04","0.5","0.0","-3.7"
"*049kb*","De'Aaron Fox","SAC","PG,G,Flx","35","UTA","23","@TOR<br/>Mon 7:00PM","11.60","2nd","9599","355.52","99%","-0.7%","34.0","9.6","1.1","1.4","20.7","0.5","3.2","5.1","1.4","0.5","2.8","2.8","0.07","0.04","0.0","0.0","-4.6"
"*05uie*","Scottie Barnes","TOR","SF,PF,F,Flx","36","ORL","20","SAC<br/>Mon 7:00PM","5.50","4th","9564","398.5","98%","-1.6%","35.5","6.5","0.7","0.8","15.1","2.9","5.4","3.3","1.2","0.9","2.0","2.8","0.08","0.00","0.2","0.0","-1.5"
"*03ad2*","Myles Turner","IND","C,Flx","37","DAL","25","GS<br/>Mon 7:00PM","14.50","4th","9558","354","99%","-0.7%","28.8","4.2","1.9","0.7","13.1","1.5","5.9","0.9","0.6","2.7","1.3","2.6","0.04","0.04","0.3","0.0","3.3"
"*02nf3*","Bradley Beal","WAS","SG,G,Flx","38","SAS","28","@DEN<br/>Mon 9:00PM","18.20","2nd","9508","396.17","99%","-1.2%","35.5","10.9","1.5","0.7","22.5","1.0","3.8","5.7","0.9","0.3","3.5","2.2","0.00","0.00","0.0","0.0","-1.6"
"*0015b*","Kyle Lowry","MIA","PG,G,Flx","39","SAC","35","@CLE<br/>Mon 7:00PM","19.00","1st","9450","378","98%","-2.1%","33.6","6.2","2.1","0.3","13.4","0.6","3.8","8.1","1.1","0.3","3.1","2.7","0.20","0.00","0.2","0.0","2.6"
"*02nfz*","Draymond Green","GS","PF,F,Flx","40","BKL","31","@IND<br/>Mon 7:00PM","13.80","3rd","9383","375.32","99%","-0.9%","29.7","2.6","0.3","1.0","8.0","1.2","6.7","7.4","1.4","1.0","3.1","2.7","0.16","0.00","0.1","0.0","6.8"
"*03byg*","Montrezl Harrell","WAS","PF,F,C,Flx","41","UTA","27","@DEN<br/>Mon 9:00PM","7.50","4th","9294","344.22","98%","-2%","25.6","3.1","0.1","1.3","14.9","2.4","5.4","2.1","0.6","0.7","1.3","2.0","0.19","0.00","0.2","0.0","2.1"
"*031lx*","CJ McCollum","POR","PG,SG,G,Flx","42","IND","30","","17.60","1st","9272","386.33","99%","-1.3%","34.8","10.8","3.2","0.6","20.6","1.1","3.0","4.5","1.1","0.7","1.9","2.1","0.08","0.00","0.0","0.0","-2.5"
"*03e6n*","Jusuf Nurkic","POR","C,Flx","43","UTA","27","","8.20","3rd","9177","339.89","99%","-0.6%","23.4","3.6","0.2","1.0","12.9","2.4","7.5","2.3","1.0","0.5","1.9","2.9","0.11","0.00","0.4","0.0","0.5"
"*04ewr*","Kyle Kuzma","WAS","SF,PF,F,Flx","44","MIL","26","@DEN<br/>Mon 9:00PM","9.60","2nd","9123","350.88","98%","-2.4%","32.2","6.7","2.1","0.7","13.4","1.0","7.4","2.9","0.6","0.7","2.0","2.1","0.00","0.00","0.3","0.0","-3.2"
"*05uid*","Evan Mobley","CLE","PF,F,C,Flx","45","DAL","20","MIA<br/>Mon 7:00PM","6.40","4th","9113","379.71","100%","-0.5%","33.1","6.0","0.6","0.7","14.0","1.7","6.8","2.5","0.9","1.9","1.6","2.2","0.00","0.00","0.3","0.0","5.1"
"*05qsq*","Tyrese Maxey","PHI","PG,SG,G,Flx","46","SAC","21","@MEM<br/>Mon 8:00PM","2.70","2nd","9104","350.15","97%","-3.4%","34.1","7.0","1.1","0.5","16.4","0.4","3.2","4.6","0.7","0.6","1.3","2.3","0.00","0.00","0.0","0.0","-0.1"
"*042n1*","Brandon Ingram","NO","SG,G,SF,F,Flx","57","CHA","24","","16.00","1st","9075","412.5","100%","-0.3%","34.4","10.3","1.8","0.7","22.6","0.8","5.3","4.9","0.5","0.4","3.0","2.1","0.00","0.00","0.1","0.0","-1.9"
"*04qro*","Shai Gilgeous-Alexander","OKC","PG,SG,G,Flx","59","CLE","23","","23.10","3rd","8929","388.22","100%","-0.3%","34.1","10.4","1.9","1.2","21.2","0.6","4.0","5.0","0.9","0.7","2.3","2.0","0.04","0.00","0.0","0.0","-4.9"
"*04ewt*","Derrick White","SA","PG,SG,G,Flx","71","CHA","27","","3.10","2nd","8861","340.81","99%","-1.3%","30.5","7.0","1.5","0.4","13.8","0.5","3.2","5.1","1.2","0.9","1.5","2.1","0.00","0.00","0.0","0.0","-3.2"
"*05qtv*","Tyrese Haliburton","SAC","PG,SG,G,Flx","47","PHI","21","@TOR<br/>Mon 7:00PM","4.20","2nd","8852","354.08","99%","-0.8%","33.0","5.8","1.8","0.3","12.0","1.1","2.9","5.6","1.8","0.7","1.9","1.3","0.00","0.00","0.1","0.0","-1.4"
"*03nwn*","Bobby Portis","MIL","PF,F,C,Flx","48","MIA","26","@BOS<br/>Mon 7:30PM","12.00","4th","8848","384.7","96%","-4.2%","28.2","6.5","1.9","0.5","15.6","2.9","6.2","1.3","1.0","1.0","1.7","2.6","0.04","0.00","0.4","0.0","3.2"
"*051oi*","Ja Morant","MEM","PG,G,Flx","49","WAS","22","PHI<br/>Mon 8:00PM","24.70","4th","8807","463.53","100%","-0.4%","32.1","9.8","1.6","1.3","24.1","1.3","4.3","6.8","1.6","0.3","3.2","1.3","0.05","0.00","0.2","0.0","-4.4"
"*051ot*","Tyler Herro","MIA","SG,G,SF,F,Flx","50","CHA","21","@CLE<br/>Mon 7:00PM","9.00","4th","8770","365.42","99%","-0.9%","32.7","10.0","2.7","0.3","20.7","0.8","4.6","3.8","0.6","0.1","3.2","1.3","0.00","0.00","0.0","0.0","1.4"
"*049kf*","Mo Bamba","ORL","C,Flx","52","CLE","23","","4.00","1st","8747","336.42","98%","-2.3%","28.8","5.1","1.3","0.3","10.7","2.4","6.3","1.8","0.8","2.2","1.4","2.7","0.15","0.00","0.3","0.0","-6.1"
"*05qtl*","Cole Anthony","ORL","PG,G,Flx","51","SAS","21","","3.60","2nd","8747","416.52","97%","-2.6%","33.6","9.4","2.9","0.5","20.4","0.5","5.7","5.7","0.9","0.2","3.0","2.5","0.19","0.00","0.2","0.0","-1.3"
"*02nf6*","Damian Lillard","POR","PG,G,Flx","53","WAS","31","","24.20","2nd","8709","414.71","99%","-0.7%","33.6","10.6","2.6","0.4","20.4","0.4","3.4","7.4","0.6","0.4","2.5","1.3","0.14","0.00","0.3","0.0","1.5"
"*027pe*","Jimmy Butler","MIA","SG,G,SF,F,Flx","54","SAS","32","@CLE<br/>Mon 7:00PM","22.00","4th","8690","482.78","99%","-0.8%","33.3","7.4","0.3","1.2","22.8","1.6","4.2","5.2","2.2","0.3","1.9","1.6","0.17","0.00","0.1","0.1","2.1"
"*02ym0*","Andrew Wiggins","GS","SG,G,SF,F,Flx","55","MIA","26","@IND<br/>Mon 7:00PM","9.00","4th","8642","332.38","98%","-2.3%","30.2","7.1","2.2","1.0","18.5","1.2","3.2","1.8","0.8","0.5","1.6","1.7","0.00","0.00","0.0","0.0","6.7"
"*01enw*","Ricky Rubio","CLE","PG,G,Flx","56","SAS","31","MIA<br/>Mon 7:00PM","1.50","4th","8635","308.39","93%","+2.6%","28.1","7.6","1.8","0.5","13.0","0.4","3.5","6.3","1.2","0.1","2.7","2.3","0.07","0.00","0.1","0.0","4.1"
"*000zv*","Al Horford","BOS","C,Flx","58","BKL","35","MIL<br/>Mon 7:30PM","2.50","4th","8600","373.91","94%","+3.8%","29.0","5.4","1.3","0.3","12.3","1.5","6.4","3.5","0.8","1.6","1.1","2.2","0.00","0.00","0.3","0.0","-1.7"
"*031m4*","Dennis Schroder","BOS","PG,G,Flx","60","DET","28","MIL<br/>Mon 7:30PM","4.00","4th","8540","328.46","96%","-3.7%","33.0","7.9","1.6","0.4","17.5","0.7","3.0","4.9","0.9","0.0","2.6","2.4","0.04","0.00","0.0","0.0","1.1"
"*05qt3*","Desmond Bane","MEM","SG,G,SF,F,Flx","61","MIL","23","PHI<br/>Mon 8:00PM","2.10","2nd","8520","315.56","91%","-8.6%","28.6","7.3","2.6","0.1","16.4","0.5","3.7","2.1","1.0","0.4","1.5","2.5","0.07","0.00","0.0","0.0","1.4"
"*03nwk*","Kelly Oubre Jr.","CHA","SF,PF,F,Flx","62","CLE","26","@DAL<br/>Mon 8:30PM","8.40","2nd","8502","303.64","95%","+5.1%","28.7","7.3","3.0","0.7","16.9","1.3","3.0","1.3","1.1","0.4","1.1","2.5","0.14","0.04","0.0","0.0","-0.8"
"*03nwm*","Devin Booker","PHO","SG,G,Flx","63","PHI","25","@LAC<br/>Mon 10:30PM","37.10","1st","8494","404.48","99%","-0.7%","31.7","10.1","2.4","0.6","23.2","0.9","4.0","4.5","0.9","0.2","2.7","2.3","0.19","0.00","0.0","0.0","5.4"
"*04qrj*","Jaren Jackson","MEM","PF,F,Flx","64","SAC","22","PHI<br/>Mon 8:00PM","7.70","3rd","8482","326.23","100%","-0.5%","26.9","7.5","2.2","0.6","16.5","1.1","4.4","1.0","0.9","1.9","1.5","3.4","0.04","0.00","0.0","0.0","4.5"
"*051p8*","Jordan Poole","GS","PG,SG,G,Flx","65","UTA","22","@IND<br/>Mon 7:00PM","2.80","3rd","8479","326.12","96%","-3.7%","30.1","7.8","2.8","0.2","18.2","0.3","2.9","3.4","1.1","0.2","2.5","2.8","0.12","0.00","0.0","0.0","5.8"
"*03al2*","Joel Embiid","PHI","C,Flx","66","SAC","27","@MEM<br/>Mon 8:00PM","22.50","3rd","8454","497.29","100%","-0.3%","32.4","9.5","1.3","2.1","24.2","1.8","9.1","4.2","1.1","1.4","2.7","2.8","0.35","0.00","0.4","0.0","3.9"
"*03aq2*","Jerami Grant","DET","SF,PF,F,Flx","67","PHI","27","","3.40","1st","8434","351.42","99%","-0.5%","32.8","9.3","1.8","0.9","20.1","1.0","3.9","2.6","1.1","1.1","2.1","2.3","0.00","0.00","0.0","0.0","-7.6"
"*03al0*","Aaron Gordon","DEN","SF,PF,F,Flx","68","BKL","26","WAS<br/>Mon 9:00PM","8.80","3rd","8417","323.73","95%","-4.7%","32.2","5.0","1.0","0.8","14.2","1.9","3.8","2.3","0.7","0.8","1.5","2.1","0.15","0.04","0.1","0.0","5.1"
"*02ng4*","Will Barton","DEN","SG,G,SF,F,Flx","69","MIA","30","WAS<br/>Mon 9:00PM","5.90","4th","8412","365.74","96%","-3.7%","33.3","7.9","2.6","0.4","16.3","0.6","4.5","4.2","0.9","0.4","1.8","1.4","0.00","0.00","0.0","0.0","0.8"
"*027p9*","Reggie Jackson","LAC","PG,SG,G,Flx","70","MEM","31","PHO<br/>Mon 10:30PM","3.00","4th","8371","310.04","92%","+2.4%","32.9","10.3","2.7","0.4","17.5","0.6","2.9","4.0","0.6","0.1","2.1","1.9","0.04","0.00","0.0","0.0","2.5"
"*03r7v*","Pat Connaughton","MIL","SG,G,SF,F,Flx","72","CHA","28","@BOS<br/>Mon 7:30PM","3.90","1st","8264","295.14","76%","+15.8%","28.3","4.4","2.7","0.3","12.1","0.8","3.8","1.3","1.0","0.4","0.8","1.4","0.00","0.00","0.0","0.0","0.5"
"*01eo9*","Jrue Holiday","MIL","PG,SG,G,Flx","73","NYK","31","@BOS<br/>Mon 7:30PM","12.10","2nd","8259","375.41","96%","-3.5%","31.7","7.4","1.7","0.5","15.8","0.8","3.9","6.1","1.3","0.5","2.7","2.1","0.00","0.00","0.0","0.0","8.1"
"*02nf7*","Harrison Barnes","SAC","SF,PF,F,Flx","74","DEN","29","@TOR<br/>Mon 7:00PM","9.90","3rd","8244","374.73","98%","-1.9%","33.4","6.3","1.9","1.0","18.0","1.4","5.4","2.4","1.0","0.1","2.0","1.4","0.00","0.00","0.2","0.0","-3.9"
"*05uii*","Franz Wagner","ORL","SG,G,SF,F,Flx","75","PHX","20","","4.60","4th","8223","304.56","89%","-0.8%","31.1","6.5","1.4","0.4","14.1","1.3","3.0","2.8","1.1","0.5","1.2","2.4","0.00","0.00","0.0","0.0","-4.1"
"*03al1*","Marcus Smart","BOS","PG,SG,G,Flx","76","LAC","27","MIL<br/>Mon 7:30PM","8.80","3rd","8197","315.27","97%","-2.7%","33.9","6.3","1.3","0.6","11.0","0.5","3.3","5.3","2.2","0.3","2.0","2.4","0.08","0.00","0.0","0.0","2.9"
"*027p0*","Nikola Vucevic","CHI","C,Flx","77","MIL","31","","21.00","4th","8176","408.8","100%","-0.4%","32.6","9.2","1.6","0.7","15.2","1.6","8.8","3.5","0.9","1.0","1.6","2.4","0.10","0.00","0.6","0.0","2.5"
"*0011e*","LeBron James","LAL","SF,F,Flx","78","UTA","36","","15.00","4th","8088","539.2","99%","-1.1%","36.3","9.9","2.7","1.1","26.0","0.7","5.1","6.9","1.9","0.8","3.6","2.1","0.00","0.07","0.3","0.1","2.3"
"*04qse*","Gary Trent","TOR","SG,G,SF,F,Flx","79","MIL","22","SAC<br/>Mon 7:00PM","7.50","4th","8038","334.92","95%","-4.9%","34.2","8.3","2.8","0.2","17.0","0.5","2.8","1.8","2.0","0.3","0.9","2.1","0.00","0.00","0.0","0.0","0.2"
"*03r7r*","Richaun Holmes","SAC","PF,F,C,Flx","80","WAS","28","@TOR<br/>Mon 7:00PM","12.10","2nd","8032","365.09","99%","-0.5%","26.6","2.5","0.1","0.5","14.0","2.7","6.6","1.4","0.3","1.0","1.4","3.0","0.14","0.00","0.4","0.0","-0.5"
"*03ad4*","D'Angelo Russell","MIN","PG,SG,G,Flx","81","DET","25","","12.50","4th","8028","364.91","98%","-1.6%","30.7","10.1","2.7","0.6","18.1","0.5","3.2","6.1","0.8","0.7","2.5","2.1","0.00","0.00","0.1","0.0","5.7"
"*04qsa*","Jalen Brunson","DAL","PG,SG,G,Flx","88","MIA","25","CHA<br/>Mon 8:30PM","4.90","3rd","8004","320.16","87%","-2.8%","28.6","6.0","1.0","0.6","14.4","0.7","3.5","4.7","0.8","0.0","1.4","1.8","0.00","0.00","0.1","0.0","1.2"
"*05uig*","Josh Giddey","OKC","PG,SG,G,Flx","90","PHX","19","","3.50","4th","7852","327.17","97%","-2.7%","28.8","6.4","0.9","0.4","10.4","1.4","5.3","5.8","1.0","0.6","3.0","1.8","0.00","0.00","0.1","0.0","-7.3"
"*04qrn*","Mikal Bridges","PHO","SF,F,Flx","82","PHX","25","@LAC<br/>Mon 10:30PM","14.30","3rd","7817","312.68","97%","-2.7%","34.1","4.2","1.3","0.2","12.2","0.9","3.1","1.8","1.4","0.6","0.8","2.2","0.04","0.00","0.0","0.0","7.8"
"*027pg*","Bojan Bogdanovic","UTA","SG,G,SF,F,Flx","83","SAC","32","","9.90","3rd","7809","300.35","94%","+3.7%","29.4","6.5","2.5","0.3","16.8","0.8","3.1","1.7","0.4","0.0","1.5","1.4","0.08","0.00","0.0","0.0","6.6"
"*042nt*","Ivica Zubac","LAC","C,Flx","84","PHX","24","PHO<br/>Mon 10:30PM","3.20","4th","7807","289.15","89%","+8.6%","24.5","1.8","0.0","0.9","10.0","2.5","5.6","1.1","0.5","1.0","1.2","2.2","0.00","0.00","0.3","0.0","-1.4"
"*038ia*","Seth Curry","PHI","SG,G,Flx","85","PHI","31","@MEM<br/>Mon 8:00PM","2.00","4th","7744","309.76","92%","+11.5%","33.8","5.7","2.1","0.3","16.0","0.5","2.5","2.9","0.8","0.2","1.7","2.4","0.00","0.00","0.0","0.0","0.8"
"*042n3*","Buddy Hield","SAC","SG,G,Flx","86","LAC","28","@TOR<br/>Mon 7:00PM","10.70","1st","7732","286.37","98%","-2.5%","27.9","8.5","3.5","0.3","15.7","0.7","3.5","2.1","0.7","0.3","1.6","2.0","0.11","0.04","0.0","0.0","-1.2"
"*03el5*","Kristaps Porzingis","DAL","PF,F,C,Flx","96","SAC","26","CHA<br/>Mon 8:30PM","17.80","3rd","7727","406.68","99%","-0.9%","29.5","8.6","1.6","0.4","19.3","2.1","5.5","2.1","0.8","1.4","1.3","2.5","0.11","0.00","0.3","0.0","-2.1"
"*051ox*","Nickeil Alexander-Walker","NO","SG,G,SF,F,Flx","91","DAL","23","","3.00","2nd","7718","266.14","94%","-6.4%","27.7","8.7","2.1","0.4","13.6","1.0","2.8","2.6","1.0","0.4","1.5","1.9","0.00","0.00","0.1","0.0","-3.5"
"*05qve*","Jae'Sean Tate","HOU","SF,PF,F,Flx","87","SAS","26","@ATL<br/>Mon 7:30PM","6.00","3rd","7691","295.81","93%","+3.1%","27.7","4.9","0.7","0.7","11.9","2.0","4.1","3.1","0.8","0.7","2.0","3.5","0.12","0.00","0.2","0.0","-4.7"
"*051p9*","Keldon Johnson","SA","SF,PF,F,Flx","95","LAC","22","","10.00","4th","7660","306.4","98%","-2.3%","29.9","6.2","1.3","1.2","14.3","1.1","5.1","1.8","0.9","0.2","1.3","1.7","0.00","0.00","0.1","0.0","-0.9"
"*0015e*","Mike Conley","UTA","PG,G,Flx","89","LAC","34","","8.00","1st","7652","318.83","95%","+5.1%","27.5","5.0","2.6","0.3","13.8","0.3","1.8","5.5","1.2","0.3","1.8","2.0","0.00","0.00","0.0","0.0","7.2"
"*02ng3*","Khris Middleton","MIL","SG,G,SF,F,Flx","92","MIA","30","@BOS<br/>Mon 7:30PM","17.00","4th","7491","374.55","97%","-2.5%","30.9","8.9","2.3","0.5","18.5","0.6","5.0","5.0","1.1","0.1","3.1","2.0","0.05","0.00","0.0","0.0","5.5"
"*04qry*","Grayson Allen","MIL","SG,G,SF,F,Flx","93","UTA","26","@BOS<br/>Mon 7:30PM","2.90","2nd","7484","277.19","75%","+34.6%","28.2","5.5","3.0","0.2","13.0","0.5","3.1","1.3","0.7","0.3","0.7","1.4","0.00","0.00","0.0","0.0","4.7"
"*027p4*","Tobias Harris","PHI","SF,PF,F,Flx","94","UTA","29","@MEM<br/>Mon 8:00PM","18.20","3rd","7454","414.11","98%","-2%","33.9","8.2","1.3","0.5","18.9","1.1","7.2","3.3","0.4","0.6","1.6","1.5","0.06","0.00","0.2","0.0","0.2"
"*031lz*","Steven Adams","MEM","C,Flx","97","CLE","28","PHI<br/>Mon 8:00PM","12.10","2nd","7426","275.04","88%","+7.9%","24.4","2.3","0.0","1.2","7.0","3.9","4.9","2.7","0.8","0.7","1.7","1.7","0.04","0.00","0.1","0.0","1.8"
